name,price
Python数据科学导论：概念、技术与应用,48.70
Python3.6编程实践指南 计算机科学入门（原书第3版）,56.90
图灵教育 Flask Web开发 基于Python的Web应用开发实战,51.75
包邮 Python人工智能项目实战 智能系统与技术丛书|8064457,51.30
谁说菜鸟不会数据分析(PYTHON篇),51.10
面向ArcGIS的Python脚本编程,37.10
现货包邮 Odoo快速入门与实战：Python开发ERP指南 刘金亮 计算机与互联网|8059543,55.30
Python 3.6零基础入门与实战+Python网络爬虫实战（2版）2本,103.80
Python机器学习,61.20
包邮 Python地理数据处理+Python地理空间分析指南 第2版,115.00
基于深度学习的自然语言处理+Python自然语言处理实战 套装共2册,113.90
零基础入门学习Python(第2版) 微课视频版,66.80
Python基础教程(第3版) [挪]芒努斯·利·海特兰德(Magnus Lie Hetl,54.45
Python 程序设计基础实战教程,38.30
Python机器学习经典实例（影印版 英文版）,65.60
Python编程从入门到实战的16堂课（第2版）,75.10
Python基础实例教程/普通高等教育“十三五”规划教材（计算机专业群）,24.70
Python 3标准库,133.30
Python自然语言处理,66.20
【现货速发】图解Python-轻松快速掌握实力派脚本语言精华 Python编程入门,48.00
多元统计分析——R与Python的实现,31.70
现货包邮 Python真好玩：教孩子学编程 刘凤飞 曾茜 青少年python基础入门|8062436,57.20
Python编程指南：语法基础、网络爬虫、数据可视化与项目实战,60.40
Python编程入门指南 上下册 Python从入门到实践 零基础自学pytho基础到精通书籍,55.80
【全6册】python基础教程+深度学习原理与PyTorch实战+基于TensorFlow和Kera,500.00
Python强化学习实战：应用OpenAI Gym和TensorFlow精通强化学习和深度强化学习,56.90
Serverless架构应用开发 Python实现,49.40
Python程序设计,65.20
Python安全实践：PythonHacking,30.90
Python入门很简单,65.60
程序员学Python,74.50
Python微服务开发 python语言编程教程书籍,42.80
PYTHON微服务开发,44.80
机器人Python青少年编程开发实例,58.40
Python 3.5从零开始学,50.20
Python语言程序设计,43.50
Python机器学习实践指南,57.80
Python基础教程 第3版Python简明教程书籍 Python编程从入门到实践 灵程序设计丛书,62.00
Python数据分析,39.40
Python数据分析与实践（大数据与人工智能技术丛书）,51.60
Python机器学习(原书第2版),70.30
